comment_id,label,expression,sarcasm,target,group category,post_id,user_id,comment_time,like_num,comment_content,to_id
2GA2DRYTd4hzXMVK,Non-CB,,,,,UA9533KzVgWRp5oF,gyix_4CyVrClMTec,207.0,0.0,度娘什么都知道,
vKW9qWCcHzKxQI8_,Non-CB,,,,,OivHC2Owr4iX6ucL,PnZ8K7jqxpv8gVpu,242.0,32.0,笑死，居然还有觉得在中国的黑人有高素质的网友,
VdOT_A7_x9VupF8g,Non-CB,,,,,s6N_8IhaPDn_HO2f,tfeAmYzpbPgm0Iz5,1217.0,0.0,这不奥老师的大冰块子么,
v_SPZI6t1MSrpew_,CB,Implicit,No,Group,Region,_GguDtSH7-7GlKBa,PhZ5IDbVUFRh4cT4,271.0,1.0,意大利拿100米冠军的也确实很有疑点 职业生涯一直很一般 十秒选手 突然在今年爆发而且奥运决赛一下就登天跑出来9.8s 至于美国队 他们4x100接力一向不行 加麻大也不会多干净,YGKGD0ego5gZB3FN
7ZQr-Q8uf0CbPUfu,Non-CB,,,,,OZA6_pqThq5jGnRC,e45Vh4qFtIASwryA,1311.0,1.0,真的有的时候这种情绪是自己不能去改变的 我身边的朋友就是这样子的 有的时候我也会这样子。。。 所以还是希望她可以出道 算是ace了吧,I9Hq2VNu0ZTbtYcA
HKLcx6IFhVmtmv5G,Non-CB,,,,,uFsCNbAF2H-qlu9X,Bbe340qqHthE-kM-,33.0,5.0,明日方舟，经典五周年先生文案,Cvp_gdxPomESaR20
ObLk5meUP_kMim80,CB,Explicit,Yes,Individual,,PzhBU873lf0y7mde,zIOqra2CiDwGemBv,41.0,11.0,广东打工妹也配说话了？,
qccgUf6FA2-Zgnr8,Non-CB,,,,,hyuflssKMRh9VvPu,npaAa6B7jQuuhJsQ,524.0,0.0,性别都有汉堡和武装直升机了,3xoZ6ZbtSfT_bZVK
Zxdi7PX5pzNI_CuG,Non-CB,,,,,1YjnXwSRvRmTkchb,ty234kkQMO24Xy_j,18.0,0.0,期待美术大赛,
kXpk4LCrbMR0GQ0w,Non-CB,,,,,752ktUsQQTAthdrj,tS65zj54VKtPNgVx,4.0,0.0,骗婚？？？,
M7K7asw2ctfdgSpb,Non-CB,,,,,eurN3NBhqivVKRUH,4kFz_79YXL3OE61i,1.0,42.0,干活了,
5iyJ-TwL-B8MJZri,Non-CB,,,,,57ozf1WfoH1jwgYq,PUP6XuvmYZmsA83q,840.0,0.0,我们也请求韩国赠送济州岛,
AJR5Fji3EZg9_U9l,Non-CB,,,,,2TqRGgbheGg2wt2P,B6Bz44v7c2z3zeLP,4708.0,1.0,医生这么多人的健康来拯救一个人，值得吗,
cngQ2YuVLyS4h9_G,CB,Explicit,No,Group,Sexism,EOJxqfRZf1Sh8Nz3,JJYF3MSqZJDQVqHj,210.0,7.0,骂回去？ 截图我看都是xxn占了上风,FaAgiq5BOfN5D3Zk
DzU-nWr34Tw0I8tG,CB,Explicit,Yes,Group,Racism,1iOGWGQLswZnBKYv,8QTW_v6SziRLd7a3,3670.0,0.0,洋垃圾进来了,
5yT8NHxxfIT4G3n_,Non-CB,,,,,YTWeZW6uMejwF6Ou,Ee6kKJVeg5V3g_tt,2551.0,0.0,我是激进派，我觉得你还是不够激进,7zkaPNUE4Ug22woN
QPiQ7art0HMXZbrG,Non-CB,,,,,kb8jo7hNWMushviL,-ia03kGrjmx2_Pog,4.0,7.0,王一博 ：别代表我,
5HEDdbJGn-de1mNS,CB,Explicit,No,Individual,,gTwPptSnukhvQ67e,UCLMbJ1J9d6iAFO5,1881.0,1.0,陕翻泼 惫排犀kqd,
dEtY23eLvOZ7IpmJ,CB,Explicit,No,Group,Region,cQtyOEmutvlPqBNU,N-TQ6FlBpQ25ocqK,463.0,0.0,丝绸之路这种百年大计，韩国是绝无可能走得通的。它有个屁的政策持续性,
RZNV92RnXiYChIv1,CB,Explicit,No,Individual,,bNPPBgSSigtR75Hs,t5stP0iMsWfunO9B,220.0,1.0,所以选举民主自由是怎么来的？选来选去都是奴隶主一群屁民每天还开心得不得了,
xUsM2pv2JofNeN4M,Non-CB,,,,,2lBWFYj2pJYlX64U,jgXF1WnFo_gf3T5O,6.0,0.0,怎么个跨法？,
RJHBhsDHwjGhFcG7,CB,Explicit,No,Group,Region,X2olM7y8rMplfrVS,ZQfhi0NBXr1rmVAJ,12.0,26.0,你跟河南的狗吵过架吗，开封有个叫黑豹的小狗跟人特别亲也不凶,
AuHZZi6Yw2BRMxc_,Non-CB,,,,,S_emobS7Bp7Mw3eh,mNnLkjQx4-_4P91L,775.0,0.0,你只要看着前面的路 尽管努力就好 身后的一切 我们来挡,
Zb9vQIqUIv1wUpeo,Non-CB,,,,,Nk6-cnBHromlYStV,GNwMa_sP1mwFBHnv,64.0,3.0,宝马今年真是够普信的，敢在国内一哥比亚迪对面，面对一哥就老老实实夹着尾巴做人，结果还搞这个，宝马还是欠消费者管教啊。,
zbzvOB1N9YrakmMV,Non-CB,,,,,cQtyOEmutvlPqBNU,_qCphL5ViEfmG7IB,3421.0,0.0,他们有丝绸吗,
ji02j87daVPTrJWA,Non-CB,,,,,kifwXC6K6D5L4gng,4EjUfxEG5Nc8JjiU,227.0,2.0,法立于上，教弘于下，让我们和#民法典普法大使杨紫#一起增强法律素养，做新时代知法懂法守法的好公民。,
BMpgWpCZC72FwoQF,Non-CB,,,,,ngA5gdERJhhDjXr_,-hE8ZxB8bXGVRIWU,26.0,14.0,反讽没看出来？,ZLgBqs9fBp3WYchw
fv9NAKu1Nm3Y6Wsr,Non-CB,,,,,apZHvh_H6L-0kbT-,uE2RL31ITVFbY0Y_,10085.0,0.0,投票结束了。有口爱前戏的人只有45%，而且八零后不如九零后，九零后也不如00后。看来还是年轻人性知识比较多，性观念比较开放。,
O23kg8gJdF4o-VyF,Non-CB,,,,,S_emobS7Bp7Mw3eh,jW-uyqtu55Eenob2,588.0,0.0,人的一生注定会遇到两个人 一个惊艳了时光 一个温柔了岁月,
t9BRLPSxPHiI_l80,CB,Explicit,No,Individual,,ne1sqAzCgDWcOmvr,ft8gPzRZAa3Z2aXF,472.0,0.0,邪教,_UwuYeIwj7ZgYbEc
XgI5thtEMPKlJnLE,Non-CB,,,,,gH2jLJw22QYID9dH,Wk9DnwDbEd_wYYGc,1206.0,2.0,为邯郸和男童的事情跟着女性博主一起转，转发近两万，女生们顶热搜，还要被骂女拳，说女的都不管这事儿，要让女生把热搜顶过唐山才能证明不女拳。去他大爷的，唐山明显就已经进到国家级扫黑除恶了，不服气跟国家说啊。再不行你帮帮同胞啊，一直骂女拳女拳女拳女拳女拳女拳女拳女拳,JkpQKsdfZHEKUjJC
PzKqIcWITaLkzgOK,Non-CB,,,,,TDv0dWskhS-MMIAL,v4ZZWFeB0LpT7voe,2.0,0.0,真是好学校啊,
518qDgxxpjTPNxWS,Non-CB,,,,,XIwkQE84KYJB23lh,ZmdTgxJX9v3IIFoO,253.0,1.0,至于你说的为啥10亿都没回本，那是因为他电影拍摄成本高，例如《热辣滚烫》，制作成本都3.5亿，那按往常的3倍成本的票房才能回本，那肯定得10亿，至于为啥制作成本这么高，那就自己分析了，有的是因为大牌演员片酬特高，有的是因为暗中洗钱之类的……值得不值这么高的成本得见仁见智。,O-EZgi8-kdNdLMzz
jMLn4Re_D-Lls7Sc,Non-CB,,,,,enECOXgdrxGnWBeg,KFYbQgvITjRaoV8s,2499.0,0.0,我喜欢哈尔滨的雪景,
gDbNMF6V6fm20sGw,Non-CB,,,,,_T11aAktmv20nOvG,zIaM4Fm3308K82VQ,90.0,2.0,鉴定为吃太多芝士沙拉拌饭脑子糊上了,
AqQMzu3lOjB-61hQ,Non-CB,,,,,5PyCoQIhHrCoVTCi,njqAtEUrxmE5FW2I,77.0,0.0,我从来不吃这种加工好的食物 怕里面参夹不好的东西 想吃肉 就买肉吃不是更直接？猪肉也才十块一斤 喜欢吃肉的可以多吃,
rdhyble-MlD2P0JF,Non-CB,,,,,6Un707_rB_ebRDwg,4sbk3RUNaN2VMG16,211808.0,1.0,比起明星、娱乐新闻，请大家多多关心一下这种涉及中华民族文化传承的新闻吧！不要让延续5000年的文化在这个时代断代。,
rtmYiEgMVlWgl0ab,Non-CB,,,,,1SFJ0MWsX6ozYEJv,qYPUsSLqWZyr4OWe,2908.0,0.0,那是不是渣男？？？？,
1SgU3f4jhUfLYhuo,Non-CB,,,,,Q4G9MgEa9GGB9A70,PNNT9aKB-pCXnvuJ,24.0,0.0,王一博河南人河南胃真是绝配,
Zm3IyBGptvxine2o,CB,Explicit,No,Group,Racism,oZP6tdi5UjkFaOi0,cDvPQZCeV0Qp4d0X,1320.0,1.0,犹奴！,
70fx-l6jLwYgTTQc,CB,Explicit,No,Individual,,-fAJ30I8loJDRo2X,H38-pUEBmrJrV1zH,49.0,2.0,骨子里的坏是可以遗传的,
YGjmDnFfKftluH9y,Non-CB,,,,,XKhDB6CipbITTJYp,rJTfOhHsjJfcIWnl,137.0,6.0,听她声音也奶嗝味,
voPKxdfpnpbhXobP,Non-CB,,,,,xi94BOvwjkACEZ6t,sKD6ehAMqQzFY4Ul,801.0,0.0,“这军队，就是这样一只猛兽，如果长期不砥砺他们的爪牙，战斗力就会消失。”——顾一野 肖战！,
gQBD8OfL1fNave0M,Non-CB,,,,,7p31WKRm57Vine46,Zk0Kfzempz34Jvu_,3913.0,0.0,本是同根生，你中有我 我中有你,
-8dH1UBasCsmsq3s,Non-CB,,,,,18_Fm2m3JWji2FUl,TF8ImW7wSO-xF_or,4752.0,1.0,有伤民族感情,
ymi_nCH9wtEBzdmD,Non-CB,,,,,LAbeXKiXavcdyNDP,zckpPHSEVQr9GE77,299.0,0.0,君子不救啊,
mObKYWMbHVAGgO0I,CB,Explicit,No,Individual,,IU-afYf7Z6ns2s9p,VQ-d37JZc-QT1Rie,426.0,0.0,活该,
6rUU78PzwqyYyUnm,CB,Explicit,No,Individual,,Gggn4gdzfvQxJqIJ,UpNweofudb2st3G8,6.0,5.0,连看到两个以大欺小的视频，坏种就是坏种，不能指望他们能自己变好，只有惩罚才会让他们约束自己，不敢做饿。,
xy3WQ4dN7v9XzJjX,Non-CB,,,,,6dVR39IiOmoXqAFS,dPYgs6HIdPQ4_rcu,14.0,0.0,购物车加一,
jYmf5kgKE_L6h_GX,Non-CB,,,,,ixagPkzpvWmW5JVA,GirZOdFQyRTaCLgP,150.0,0.0,真的是这样,3DeFHYwG-tOlXaGN
bLzSV_Zkqr9jCx2n,CB,Explicit,No,Group,Racism,1iOGWGQLswZnBKYv,3b3_6GGE6vq5IQ6K,125.0,0.0,144政策下，进来的白皮也是鱼龙混杂,
p1byLfVlN8mfC4No,Non-CB,,,,,xeIeYK_lGxoIx7-N,f4nOc_mXuoZe-8y0,213.0,2.0,期待米奇早日回家，阖家团圆,
2HQY9elOBV19ntwz,Non-CB,,,,,LdC38AiFSfEEg0nR,DAf_eFsWgXPj2V7X,16.0,0.0,喜欢我来回2k二十小时动车吗,
PibBRCqlsy-79zLP,Non-CB,,,,,oFaGX-tAKpcOlKSL,0jwlszeyUGZDlxHB,1094.0,0.0,哦，你们班人多。我们班好像就30多人，其中女生10几个，且是一个厂办学校的职工子弟，父母是同事，可能就……八卦了些吧。（所以我只说自己身边的事，而不拿自己带入别人）,beSYn5bG4KarnsEO
K6L0cbbr2awFezPL,Non-CB,,,,,2TqRGgbheGg2wt2P,K4Z27SSM0rhgOyEx,52.0,0.0,呵呵,
IBkphH_nyvIoDRdx,CB,Explicit,No,Group,Racism,jVJki27cD2zvlLtP,wSRnKNLgJbcDLV1b,24.0,1.0,奴隶在奴隶主面前，往往乖乖受罚，不敢反抗,
8YXGA2XbFA1cO3bs,Non-CB,,,,,xbEA1xDUEbCrj65B,j83VQ2oAnFb6LI6r,17071.0,0.0,试试啦,
kkzRBDFrT885xILv,CB,Explicit,No,Individual,,fU9jbdIQ2l_Kao4e,SK8EfWEQrM_0Tic0,334.0,1.0,本来就是贼,
tlB99Fkdc_bG-KLF,CB,Explicit,Yes,Individual,,t1224jj2ZFO0acUN,GboBTkESqtz6mh-n,75.0,0.0,不会吧，不会这世界上还有人过得不如猪吧,
7NnbaBWuWvEUtmVw,Non-CB,,,,,9tJPxP7--vUXYtxm,jnSleS6TeTue2EF4,835.0,4.0,尚书省拐肘的事是真的吗,
ZzPrPO5kC9Av-QrE,Non-CB,,,,,i47hsd-gat7Y6Ray,6BIHkGE7RJajyGPn,46.0,0.0,小幺幺厉害了 大人的筷子都能用了 夹菜又准又稳,
dWdciqvdWvagQBhj,Non-CB,,,,,eESXfzGKOIjEo-WO,Ln1FjNFCs4KGZY1r,1094.0,2.0,雪姨,XVKI5wix3aQ8FU7W
v5n0Rki0Czbe7zxH,Non-CB,,,,,afriqdi0YaetuK6p,KXXWTsJb7UOYVig6,548.0,0.0,真好，祝好。,
Kn8WgPwpUFaq7RUa,Non-CB,,,,,QTg0QrZLBiNURqys,15mC9zSy9YzK7qGQ,69.0,1.0,同性恋的贡献太大了，如果这个世界没有同性恋双性恋跨性别人口，可能现在地球的人口怕是要突破120亿了。到时候就不是内卷的问题了，重本大学毕业出来都得和别人竞争服务员的工作，一周只能休4天，一天工作超过10个小时，简直生不如死。人均资源更少，战争更加频繁，贫穷人口更多，绝望的呐喊此起彼伏，,
ZXteSle0xo9d5TPr,CB,Explicit,No,Individual,,-ztqoT-eQRXacO9-,LSv6Hn793pcZLK3s,30.0,0.0,别来沾边了 真的令人作呕,
yy6CJJzZZ_QlyIUq,Non-CB,,,,,93L_6GBlXZc2ih1a,34vgfeIY5l36dmBt,15.0,0.0,转发，希望更多的人做好预防，健健康康,
5BBa5Ms1n6SeOpWg,Non-CB,,,,,j-l89jp1fty86JK1,CWawMFZWGUat3e-_,3.0,0.0,漫长的时间长河里，自由心证,
Hm1rgDmkTW2yvhxv,CB,Explicit,No,Individual,,jHG4g7bxc93wANgP,TN7xNy0lGtq18qlR,405.0,0.0,活该,
ar9XMxhkOCOOJ-J5,CB,Explicit,No,Individual,,jSILFzlQqro0bqQN,Jb5qOFkRxx6wFXWI,2824.0,1.0,俩 头,
vkkBp-eiUNeyWFeW,CB,Implicit,No,Individual,,gGfmRphNYVvZR8Lx,E6hAb7-gdAmIpYbZ,153.0,0.0,有反应了咋办？,
XtxKipmuRMvezk9r,Non-CB,,,,,752ktUsQQTAthdrj,ESczCwMo7sU4EVi6,913.0,0.0,没听过要收,0SHm5vW6bjZF1fyw
9xQg95DzmoIdx8Jc,CB,Explicit,Yes,Group,Racism,SJI8qnIGTauax41q,q5GJKOqeyq2IefhL,1996.0,2.0,是的，地铁事件还没解决呢，某些马桶女人心甘情愿的事情我们还是不要干涉,M2eGJd8Xz8kYoaxO
O_OoQ_v54PpTC1rg,Non-CB,,,,,zTcqsNe1N7bqnhBR,omneuOZKGd410Pn9,492.0,0.0,虽然但是，8月真的别来浙江，我怕22热嘎了,
mc8vyrTnsMDbyUr0,Non-CB,,,,,u_o2euWqkoGIWLWU,uFicH5qMtCatP-8A,922.0,0.0,赠送？？？？我没看错吧？,
pMyZ2hvfLbN79kxr,CB,Implicit,No,Group,Racism,gXpWO0XOjMcXW0PM,RhHMDOdVrSDfDupW,797.0,1.0,看长相应该是中东难民,
Hz5Vgxv3h_gqx9xW,Non-CB,,,,,FpKLch5vOY4N0lkG,bGoqFgFnvsZVu6kU,2574.0,0.0,我看广州就要快了,
7yrVhSIMki20O1j8,Non-CB,,,,,y30gHC22hFeP0TrP,YIfbcaUBjFcHG9dk,6650.0,1.0,下午好,
hpz1MRgk0N3l7Eif,Non-CB,,,,,o9kWTcZ3YDW5SmuP,7rzvpGVTTxUByS0t,15.0,1.0,支持博主,
SbrRTIxfozn5mnH_,Non-CB,,,,,VYrmfHy6U19WooH6,2fIx4dzFDiA4d2p2,619.0,22.0,航司怎么这样没底线，必须告他们。如果是国人他们会等三个半小时吗？,
9PidB15wYtoKJOdS,Non-CB,,,,,4NNAEikXQxVq9IVW,UHl07Rs9le7BZe0b,350.0,0.0,嘴强王者,F1mSPI8pq1ssG5Ak
xpTlP1Wmn8DJfDNc,Non-CB,,,,,b3MLIJjd_sGj96jy,Ta0-3VwyV8Gl6y6W,409.0,6.0,这款车表现很全面，除了被黑惨了以外 还真没啥毛病,
BiDG36ElYMWitBhC,Non-CB,,,,,WzCz4ksTrrSY-t7E,OBSUKmrtllzDYbWx,1060.0,1.0,救哈哈哈哈哈哈哈,YCiqskJqHU9t8103
GzkfF3kkla_IJENa,Non-CB,,,,,7zSiwwBlTmtacJOQ,bDtBlTNd8LvFh8fj,56.0,1.0,别有太大的压力哦,
7BbDasNKek1GXw97,Non-CB,,,,,yi0Qm8x0d7lmKH6j,NgQklSaMHLrt9HiP,13.0,0.0,啥啊！,wQHSvpEtoannlKFd
fA7u5_c1DylF6drQ,Non-CB,,,,,Pf85GvNuQohnEY8n,5Ru8nHf07JPQZwR8,288.0,2.0,只有我心疼和相亲对象a了180而且吃的不怎么样。,
ZeQjnL7nhawY54jQ,Non-CB,,,,,g5eSzLmgKSKVC7YK,aLyQJdFTeFq-VHft,1076.0,0.0,脚丫烤着冒烟了没,
KhdqEfUNsbQA64r4,Non-CB,,,,,jSILFzlQqro0bqQN,ZXeqEMuub3xsvWKs,20.0,0.0,作为员工这种饭真恰不得,
6R8eryqdCOrBcPT2,Non-CB,,,,,Iuw8BiFxErXpYSX9,V4STceBDHxhHimpf,522.0,0.0,怎么，500秋回你私信啦,kB3ObcQJVG8jO9LF
qj5YB_00M87snOum,Non-CB,,,,,sFCXi4MNZkeMKx4H,nxEoypy6qnoqXT_G,2449.0,0.0,说人种差距有问题吗,jSEaDJFJiegV2N_J
D0PMhH6cp1tcFRaq,CB,Explicit,No,Group,LGBTQ,9Sof1hP7oJeSXsA0,YNgAykkmRVO4GgZk,769.0,4.0,又来这套，厌♂只是她们嘴上play的一环，实际上i♂，最多冷脸洗内裤，厌♂也是时尚单品……在腐割那里♂同才是真爱、♀同就是工具,
N3OebwManuEmBblk,CB,Explicit,No,Individual,,Rf-k6HZuYHbfOGgv,V5YvLJyTiaMxpdov,107.0,6.0,她还是萝莉岛运动的重要参与者,
Wyrx9XqPwU3U62nz,Non-CB,,,,,afriqdi0YaetuK6p,Xi9qqIqzup1p4DE6,91040.0,0.0,铲除新疆的亲美势力！,
ePNdYRLsgHVInsB8,Non-CB,,,,,VN7pEGG-qLoSrTbF,vb8lDaglP6PXlDyr,39197.0,0.0,来看看,
XZT4feCesGTFjE2M,CB,Explicit,No,Individual,,GrACHU3hI-_RyQDM,JWV83ethO6CmXpt0,1034.0,0.0,对对对，膨胀骡栓你说的对,NjWxa1nsB1l1QjHM
EknvStIjQfaEdeYa,CB,Explicit,No,Individual,,FVlDvtwu-rAHTfl_,fBiAPVSuY5V4e-Mv,101.0,0.0,以后都学哑语吧，说话就犯禁忌,
dNePiBdBfBDij2VZ,Non-CB,,,,,hsiwzY327ei5bWXw,6B52FKY0wQ1zwZJX,23.0,1.0,说实话把老表说破防了？,2JzySx82ZtJ6eZCJ
q9cfOHe1RFK3y58P,Non-CB,,,,,TDv0dWskhS-MMIAL,NZaoTQHxMfCQVdvX,418.0,0.0,赞赞赞,
JPl0_ThWQaBlxDR3,CB,Explicit,No,Group,Region,H4aERKa3VD3nPErw,h1SQikuQD2-NAZzx,59302.0,7.0,好的 这就帮你把老鼠皮拔了蟑螂洗了,2_dNaBtpazbhHJPw
8ohmCokzagR0eAnP,Non-CB,,,,,1iOGWGQLswZnBKYv,wfOLobXrNcjWGHfO,52.0,99.0,ip正确,ZnKKd3xJJal06iBt
7psA_0DHYipg5sOt,CB,Explicit,No,Group,Region,eurN3NBhqivVKRUH,2loVLZkXd_jv3jnl,4.0,5.0,马桶配得上艾滋,
TKKaDqdYvoGpSKA8,Non-CB,,,,,1l3O7JXqr6icMtVA,63QggXy7ho_jVoR9,227.0,0.0,是哒真的涨姿势了呢很值得了解了,
JdtGFzf_XsdFYzqc,CB,Implicit,No,Individual,,rTyRQnD-G3X_hgJy,k53PtcwnF8CxB_Vj,740.0,3.0,不少。。。。。。。去年底集中出来直播宣传那啥的好处意图洗脑，被按下去了,nRmXKEAKbHJayO5V
FWvpnN9O3joDNNEX,Non-CB,,,,,KzUWD0MhsQue34rm,ickMLpr4kgIp_OtA,830.0,2.0,最近有点get孙怡，我觉得应该是她那样漂亮温柔的，而且眼睛很漂亮,
Uxt6ZEnW5SGd8LEl,Non-CB,,,,,LqqN3xoD2XqtXsfj,RBYzBPC9ySvinSWl,91.0,0.0,好的，谢谢，知道了,
Tea0GMkvaBydmSAk,CB,Implicit,No,Individual,,yInCKJhuAkJbCtu9,D2FOKnSmV7niN8rt,675.0,0.0,叼盘那个恨啊,
rvKS0b_Bf5_l4r-k,CB,Implicit,No,Individual,,jfMMYGQurxobQd6_,0ZAvyYUi2TkdsTkF,36.0,1.0,正常，我也是，应该是微博里面的两面人给弄的，怕脏了太君的手~,nDM6THowTr-oqmWK
ma-EybQhLMF12rLH,Non-CB,,,,,ieiuTdnh5J4xvJPo,t6COcVPUpIx3loCF,1447.0,0.0,得好好看看这些文字,
PdLUoaZxEB9GKZgf,Non-CB,,,,,Gn4FFIAv29zph93X,d92Fdt9MxOFfehjp,539.0,0.0,涂山璟60喜欢你，那双眼动人，笑声更迷人，那可爱面容挽手说梦话,
PQgvP79hzsg_AWsK,Non-CB,,,,,Yz1s_Y0h3HjL-Bxv,ZiXX8Z_1qroRUs2A,4.0,3.0,小年快乐,
Gs2m93MvPU9bz1lz,Non-CB,,,,,cfbMjN9NVNIhOepm,DcQs7h2PIaXJbtEF,1364.0,4.0,我妻子给我生儿子的时候出来也这样抖，给我心疼坏了，一点也没有得子的喜悦。,
c1FryluddQvPBG9Z,CB,Explicit,No,Individual,,jw7KMzLq8qsvQuSd,tf_Rs5XOuN9JACDl,6198.0,1.0,三姓家奴一边去，什么玩意儿,56WRbufQi7xBpOsW
YECFVQbNKxPUfXrS,Non-CB,,,,,4FH5Ky91YuxU20ZX,C60PT9FffBhY0IbD,7.0,0.0,借一点干净的阳光让我怦然心动,
2OjsBNBfHnqZGJNl,Non-CB,,,,,TD_yLQiIsyzi7S3h,bLieeYcaPgd1-37Z,11.0,0.0,回家,
JYos5jzC7rgMeBWM,CB,Implicit,No,Individual,,PzhBU873lf0y7mde,-0ZVXkL15JsKXWZM,1768.0,0.0,偷井盖咯,
VPAECMdGHrQiNGtf,Non-CB,,,,,eaAiNWREv8e30qM7,6iO_MHBg3X--zNxj,55.0,0.0,原创应该是半夏老师,YTyqEbM1TI1lTqGN
V9GDqKUNaOLlEq5R,Non-CB,,,,,navJm4bOwMjQCWr6,9OoxmavZYAgZ9qqn,1.0,63.0,#俩6岁孩子33层扔下推车水桶#小孩子调皮捣蛋不奇怪，关键是父母或监护人，需要认识到孩子可能做出这种危险的事，要把孩子看好，免得发生意外。 这件事好在只是砸到车，没砸到人，只需要赔点钱，已经算是不错的结果。 ​,
r-6bgW_wAtpopFuY,Non-CB,,,,,6PjPNMYHKmlMSxUM,T-nv7ErO4O_6wYdx,51.0,7.0,猜猜他当年入狱是因为性侵男的还是性侵女的？,
TMwDtORyFBlQtYgY,Non-CB,,,,,XIwkQE84KYJB23lh,VfoyrVTped3nhGGq,47.0,0.0,是我记差了，不是很熟悉其他演员。,XFwsTGfE0XdF3OV3
FiRe3tQ5q6Y7ift0,CB,Explicit,No,Individual,,2n1ltwk1w41tkqJd,wiHw3kxhygdSQJYG,293885.0,91.0,两腮无肉凹陷，做事狠毒,
4J27FYDM24wLoX_U,Non-CB,,,,,navJm4bOwMjQCWr6,Mh1tWTvE7dJwWgMq,703.0,0.0,家长要注意防护,
0_GvkVcw-gBYfqeK,Non-CB,,,,,Ms5-fS9G0bf187kR,NefxS4XfZ4Abotmk,57.0,0.0,东北人都是冻人吗，美丽冻人,
-2Uj-pw2faLnhSFw,CB,Explicit,No,Group,Racism,1iOGWGQLswZnBKYv,rFsmj5udSL-y-Gqo,145.0,0.0,洋垃圾就该全部驱逐出境！ 应该驱逐出境！,
aPLdgvwLBzIC6Btg,CB,Explicit,No,Individual,,J0MH7Zs6mV9S1J90,3xf0yScjsz5JJ-Mx,94.0,0.0,引流都不会找流量，别做自媒体了吧！一个人吃饭会噎着你还是？,
oV69P1UnA9k2Owi7,Non-CB,,,,,6Un707_rB_ebRDwg,LbNXfRX0p1CEjEK8,11926.0,0.0,真假啊？警惕啊，守护好我们中华文化。,
BXTWyX-gOagJzfkW,Non-CB,,,,,Nk6-cnBHromlYStV,GtwDznXkHUpMzfpp,53.0,3.0,#宝马mini#明目张胆的搞区别对待，被骂上热搜也是活该 ​,
LIhoHR5NDmKzkb-D,Non-CB,,,,,am2WSJ_f9H_tUg7N,CI9LJl7gxmOTZs_B,122.0,0.0,我也觉得，但不好意思让号主老婆等但转念一想到时候把二次改成我的，跳脸好像我录脸好像就行了,Tr1KvW6rLEZ-HqDR
-LRHt7f68OeoQEMO,Non-CB,,,,,apZHvh_H6L-0kbT-,NzqiJTSB3l3XupW-,3095.0,0.0,我看数据，舔的比例比较高。,otBSR-4sRQ1JBY_R
3yr0XW27QRAbHYyq,CB,Explicit,No,Group,Racism,26QzKYrbw8ugrqvI,8-OJu0obKKFk3Z9x,144.0,5.0,我倒是有一些跟黑人do的动图…,
RHpd3YbRSkWf_WwZ,Non-CB,,,,,5ckaecLxlcNoR6S4,wzPEnhdq9UKfBQrx,21569.0,1.0,60后，婚后才有关系。70后，有关系后多结婚。80后，有关系后可能不结婚。90后有关系后考虑结婚会被群讽。00后…,
